lon;lat;id;nom_polid;calle;nro;teléfono;domicilio;comunas;barrios;hor_atenc;valor_ent
-58.4744;-34.646;1;AVELLANEDA;LACARRA;1257;4671-5932;1257 LACARRA;9;PARQUE AVELLANEDA;Todos los días de 8 a 20 horas.;Gratuito
-58.4446;-34.6331;2;CHACABUCO;PERON EVA;1410;4921-5776;1410 PERON EVA;7;PARQUE CHACABUCO;Todos los días de 8 a 20 horas.;Gratuito
-58.4459;-34.5796;3;COLEGIALES;CONDE;235;4555-7074;235 CONDE;13;COLEGIALES;Todos los días de 8 a 20 horas.;Gratuito
-58.4762;-34.5926;4;COSTA RICA;DE LOS CONSTITUYENTES & CHORROARIN;0;4521-8063;DE LOS CONSTITUYENTES & CHORROARIN;15;AGRONOMIA;Todos los días de 8 a 20 horas.;Gratuito
-58.3763;-34.638;5;DON PEPE;HORNOS Gral. & BRANDSEN;0;4302-1618;HORNOS Gral. & BRANDSEN;4;BARRACAS;Todos los días de 8 a 20 horas.;Gratuito
-58.4951;-34.6668;6;DORREGO;DE LA TORRE LISANDRO & MONTE;0;4687-6823;DE LA TORRE LISANDRO & MONTE;9;MATADEROS;Todos los días de 8 a 20 horas.;Gratuito
-58.4087;-34.626;7;MARTIN FIERRO;ORURO;1300;4941-2054;1300 ORURO;3;SAN CRISTOBAL;Todos los días de 8 a 20 horas.;Gratuito
-58.5138;-34.5944;8;ONEGA;MISTRAL GABRIELA;3819;4504-2711;3819 MISTRAL GABRIELA;11;VILLA DEVOTO;Todos los días de 8 a 20 horas.;Gratuito
-58.4089;-34.6395;9;PATRICIOS;PEPIRI;135;4911-4642;135 PEPIRI;4;PARQUE PATRICIOS;Todos los días de 8 a 20 horas.;Gratuito
-58.4913;-34.6227;10;POMAR;MERCEDES;1300;4568-0184;1300 MERCEDES;10;FLORESTA;Todos los días de 8 a 20 horas.;Gratuito
-58.5132;-34.6464;11;SANTOJANNI;PATRON;6222;4641-2462;6222 PATRON;9;LINIERS;Todos los días de 8 a 20 horas.;Gratuito
-58.3894;-34.6493;12;PEREYRA;VELEZ SARSFIELD;1271;4301-3700;1271 VELEZ SARSFIELD;4;BARRACAS;Todos los días de 8 a 20 horas.;Gratuito
-58.4019;-34.57;13;M BELGRANO (KDT);COSTANERA AV & SALGUERO;0;4807-7700;COSTANERA AV & SALGUERO;14;PALERMO;Lunes a viernes de 8 a 22hs. Sábados, Domingos y feriados de 8 a 21 hs.;$2
-58.4403;-34.6669;14;ROCA;ROCA CNEL.;3490;4919-1542;3490 ROCA CNEL.;8;VILLA SOLDATI;Martes a Domingo de 9 a 19 horas.;"$1 (bono contribución, no obligatorio) "
-58.5;-34.5523;15;SARMIENTO;BALBIN RICARDO DR. & PAZ GRAL AV;4750;4547-0882;4750 BALBIN RICARDO DR. & PAZ GRAL;12;SAAVEDRA;Todos los días de 8:30 a 18 horas.;"$ 1 (sábados, domingos y feriados) "
-58.4348;-34.5592;16;COMPLEJO GOLF - VELÓDROMO;TORNQUINST;6397;4772-7261;6397 TORNQUINST;14;PALERMO;Martes a Domingo de 9 a 18 horas.;Gratuito